rank,team,points,wins,ot_losses,xgd_pg,gsax_pg,finish_pg,power_score
1,brazil,122,58,6,0.6177158536585371,0.40032439024390226,0.04293536585365825,1.3407418822636405
2,peru,112,52,8,0.3611743902439024,0.4504097560975611,0.13963536585365843,1.1100959230138499
3,netherlands,114,54,6,0.4962853658536586,0.3390634146341464,0.006114634146341337,1.0464573073836805
4,pakistan,106,49,8,0.6248951219512195,0.261731707317073,-0.2646756097560974,0.7821072909454626
5,thailand,107,50,7,0.891160975609756,-0.3211987804878049,-0.008986585365853554,0.7078309298739974
6,china,101,47,7,0.42607804878048783,0.34120243902439024,-0.2063048780487805,0.6592587199781511
7,panama,101,46,9,0.19587195121951215,0.3462646341463414,-0.029941463414634033,0.5903986344637454
8,india,104,49,6,0.01711707317073185,0.5479548780487805,-0.22360853658536597,0.48522213412685566
9,iceland,101,46,9,-0.2269670731707317,0.4838256097560975,0.09680000000000004,0.4224532119113502
10,uk,91,39,13,0.44281829268292694,0.3536756097560974,-0.3940548780487805,0.4188022556883958
11,ethiopia,98,43,12,-0.28375853658536593,0.19131829268292708,0.3363426829268291,0.25600609936917273
12,philippines,99,43,13,-0.2749890243902437,0.6113926829268291,-0.19006219512195136,0.23819393922864435
13,indonesia,90,41,8,-0.27362560975609784,0.34558170731707333,0.062190243902439137,0.0944466644601314
14,serbia,88,41,6,0.15992560975609757,0.0021243902439022537,-0.10107439024390226,0.025857490930991295
15,guatemala,92,42,8,0.2789999999999998,-0.038902439024390216,-0.3010731707317072,-0.018767838717405796
16,new_zealand,86,40,6,0.03577195121951223,0.15038170731707315,-0.271519512195122,-0.11545913678528343
17,singapore,94,40,14,-0.5239487804878055,0.3778597560975613,-0.024642682926828984,-0.13903526891421156
18,saudi_arabia,85,39,7,-0.14637682926829282,0.3166780487804879,-0.2922524390243902,-0.16033570510387385
19,mexico,87,38,11,0.5023512195121949,-0.36872317073170724,-0.3409451219512193,-0.2068031652613084
20,south_korea,86,39,8,0.10555975609756066,-0.6194963414634146,0.34320487804878075,-0.26844116929246437
21,morocco,85,37,11,0.07168902439024394,-0.30945365853658546,-0.00613780487804873,-0.3074308898117315
22,france,85,37,11,0.3964987804878049,-0.3763475609756098,-0.3128341463414634,-0.31416317432719354
23,vietnam,90,39,12,-0.5638756097560979,0.18312439024390276,-0.03388292682926835,-0.4134493498340187
24,germany,78,36,6,-0.16945000000000007,-0.25607195121951204,0.16942439024390238,-0.421355673373637
25,switzerland,81,36,9,-0.39134146341463416,0.10221951219512201,-0.052341463414634165,-0.44314147118934727
26,canada,83,36,11,0.09206951219512197,-0.38311951219512186,-0.23334024390243915,-0.5671389955963951
27,uae,88,38,12,-0.37766707317073184,-0.09312073170731698,-0.11457804878048775,-0.5858264550419946
28,oman,77,35,7,-0.4214085365853654,-0.04277317073170754,-0.048013414634146524,-0.6501674148802679
29,usa,80,35,10,-0.41834756097560966,-0.06466707317073189,-0.09015609756097553,-0.668476362205196
30,kazakhstan,66,30,6,-0.2636121951219511,-0.20217682926829258,-0.20494268292682946,-0.9044741129203481
31,rwanda,68,30,8,-0.3940536585365853,-0.10827073170731698,-0.265968292682927,-0.9674731909549102
32,mongolia,67,27,13,-0.9865609756097564,0.29874390243902454,-0.10486585365853646,-1.0259331094284823
