game,home_team,away_team,home_win_prob
1,brazil,kazakhstan,0.7640306780900907
2,netherlands,mongolia,0.7550833049500827
3,peru,rwanda,0.7643051316791457
4,thailand,oman,0.6903782884326702
5,pakistan,germany,0.6556613366236602
6,india,usa,0.6631421902184617
7,panama,switzerland,0.6589626046278519
8,iceland,canada,0.6617992949796208
9,china,france,0.6570714402361532
10,philippines,morocco,0.588881303884016
11,ethiopia,saudi_arabia,0.601385408613
12,singapore,new_zealand,0.5297618569401845
13,guatemala,south_korea,0.5453325086218936
14,uk,mexico,0.622343370619389
15,vietnam,serbia,0.47078369523193436
16,indonesia,uae,0.6415902333053706
