team,opponent,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,penalty_minutes,home,win,loss,goal_diff,xg_diff
thailand,pakistan,1,3,2.8230999999999997,2.7516,21,24,16,1,0,1,-2,0.0714999999999999
switzerland,kazakhstan,4,3,1.9254,3.3189,20,30,20,1,1,0,1,-1.3935000000000002
serbia,rwanda,4,5,3.6712,3.024,30,27,16,1,0,1,-1,0.6471999999999998
brazil,netherlands,5,0,3.5905,2.5261,32,27,20,1,1,0,5,1.0644
india,morocco,2,3,3.4592,3.7658000000000005,32,29,16,1,0,1,-1,-0.3066000000000004
peru,saudi_arabia,0,1,3.3131,2.5685000000000002,35,23,24,1,0,1,-1,0.7445999999999997
china,pakistan,4,3,2.1864,3.3309,20,34,12,1,1,0,1,-1.1445000000000003
switzerland,uk,1,4,1.5251,2.7155,18,26,12,1,0,1,-3,-1.1904000000000001
serbia,philippines,2,1,2.4898,2.4407,24,27,12,1,1,0,1,0.0490999999999997
germany,canada,5,1,3.1746,2.1493,29,19,10,1,1,0,4,1.0252999999999997
guatemala,ethiopia,4,2,3.1553,1.7116,31,21,14,1,1,0,2,1.4437
south_korea,oman,4,2,3.2679,1.873,30,18,20,1,1,0,2,1.3949
mongolia,new_zealand,2,7,2.4405,3.4256,26,30,16,1,0,1,-5,-0.9851000000000001
canada,panama,2,4,2.8035,2.3543,24,22,8,1,0,1,-2,0.44920000000000027
netherlands,iceland,0,4,2.2677,2.0596,19,20,18,1,0,1,-4,0.20809999999999995
indonesia,uae,2,1,2.3026999999999997,1.7261,27,15,16,1,1,0,1,0.5765999999999998
mexico,usa,4,3,3.8837,2.001,32,18,12,1,1,0,1,1.8827000000000003
panama,rwanda,5,1,3.5503,2.2175,25,24,10,1,1,0,4,1.3328000000000002
kazakhstan,france,1,6,1.4778,3.4081,15,29,12,1,0,1,-5,-1.9303000000000001
brazil,singapore,5,4,5.3765,3.3193,39,37,19,1,1,0,1,2.0572
thailand,vietnam,3,1,3.1693000000000002,2.8072,23,30,12,1,1,0,2,0.3621000000000003
thailand,switzerland,5,0,4.5169999999999995,0.8815,35,12,10,1,1,0,5,3.6354999999999995
ethiopia,france,3,6,3.271,3.024,30,28,16,1,0,1,-3,0.2469999999999999
rwanda,germany,2,1,2.6954,2.5322999999999998,23,20,14,1,1,0,1,0.16310000000000002
switzerland,ethiopia,4,3,4.0929,3.1363,41,31,30,1,1,0,1,0.9566000000000003
canada,saudi_arabia,5,3,1.8603,2.2325,19,23,12,1,1,0,2,-0.37219999999999986
philippines,kazakhstan,1,0,1.5471,2.3172,17,29,4,1,1,0,1,-0.7701000000000002
netherlands,india,2,3,4.0264,2.2817,34,28,8,1,0,1,-1,1.7447
iceland,uk,1,4,2.8753,3.1719,25,30,11,1,0,1,-3,-0.29659999999999975
uae,new_zealand,2,5,2.3761,4.9233,21,38,16,1,0,1,-3,-2.5472
vietnam,peru,2,3,4.3044,2.7586,42,26,12,1,0,1,-1,1.5458000000000003
serbia,china,1,7,3.098,3.3221999999999996,28,30,10,1,0,1,-6,-0.22419999999999973
mexico,guatemala,2,6,2.5339,2.3632,24,25,10,1,0,1,-4,0.17070000000000007
indonesia,mongolia,5,1,3.4311000000000003,0.9396,29,12,0,1,1,0,4,2.4915000000000003
morocco,singapore,5,2,3.2949,3.212,30,32,12,1,1,0,3,0.08289999999999997
uae,morocco,0,7,2.2586,4.6517,26,41,23,1,0,1,-7,-2.3931
panama,pakistan,2,3,3.1242,2.8035,26,26,6,1,0,1,-1,0.3207
brazil,usa,2,1,1.9207,3.8882,15,33,24,1,1,0,1,-1.9674999999999998
ethiopia,saudi_arabia,2,3,2.8853,3.6744,27,35,14,1,0,1,-1,-0.7890999999999999
serbia,oman,3,2,4.5167,2.7824,35,26,14,1,1,0,1,1.7343000000000002
uk,usa,2,1,3.8018,2.9006,30,25,6,1,1,0,1,0.9012000000000002
south_korea,kazakhstan,7,2,2.8254,2.8966,26,24,14,1,1,0,5,-0.07119999999999971
mongolia,morocco,4,5,2.7336,3.0033,33,27,8,1,0,1,-1,-0.26969999999999983
iceland,netherlands,0,3,1.1889,2.4712,14,26,12,1,0,1,-3,-1.2823
guatemala,canada,4,0,2.9812,2.3840000000000003,25,27,16,1,1,0,4,0.5971999999999995
germany,vietnam,6,1,3.8338,1.5686,27,13,12,1,1,0,5,2.2652
france,saudi_arabia,4,3,2.8418,3.2648,26,29,14,1,1,0,1,-0.42300000000000004
singapore,thailand,5,6,3.4866,3.9502,33,34,12,1,0,1,-1,-0.4636
france,pakistan,3,4,2.581,4.1845,22,36,6,1,0,1,-1,-1.6035
china,peru,4,5,2.1611,3.614,21,39,18,1,0,1,-1,-1.4529
philippines,uae,3,4,3.0446999999999997,2.3407,27,26,10,1,0,1,-1,0.7039999999999997
brazil,mexico,4,3,2.8258,2.5998,26,25,18,1,1,0,1,0.22599999999999998
rwanda,panama,2,3,1.97,3.6779,20,30,12,1,0,1,-1,-1.7079000000000002
switzerland,india,1,2,2.6419,1.2089,28,14,12,1,0,1,-1,1.433
thailand,brazil,1,2,3.2779000000000003,2.1804,24,21,4,1,0,1,-1,1.0975000000000001
mexico,france,2,3,3.4847,2.3984,31,22,12,1,0,1,-1,1.0863
uk,saudi_arabia,3,0,2.8485,2.0118,24,19,8,1,1,0,3,0.8367
south_korea,mexico,4,3,4.1558,2.5492,38,25,12,1,1,0,1,1.6066000000000003
oman,indonesia,3,1,3.3428,2.135,24,22,14,1,1,0,2,1.2078000000000002
peru,germany,4,5,3.8488,2.1281,31,21,6,1,0,1,-1,1.7207000000000003
new_zealand,guatemala,1,4,2.9713,3.7987,31,34,15,1,0,1,-3,-0.8274000000000004
rwanda,mongolia,1,4,2.0728,1.8954,19,20,6,1,0,1,-3,0.1774
serbia,ethiopia,1,4,3.9392,4.1826,34,37,19,1,0,1,-3,-0.24339999999999984
uae,china,4,5,4.2933,3.1698,35,30,12,1,0,1,-1,1.1235000000000004
usa,netherlands,4,5,3.7184,2.2978,34,22,10,1,0,1,-1,1.4205999999999999
pakistan,kazakhstan,3,0,3.1125,1.8738,25,16,25,1,1,0,3,1.2387
switzerland,canada,5,1,2.6583,2.5002,25,24,14,1,1,0,4,0.15810000000000013
singapore,south_korea,5,4,3.9369000000000005,2.8919,32,29,8,1,1,0,1,1.0450000000000004
new_zealand,kazakhstan,2,1,2.5737,3.2426,20,23,12,1,1,0,1,-0.6688999999999998
vietnam,panama,5,2,3.1986,2.6370999999999998,28,21,12,1,1,0,3,0.5615000000000001
morocco,philippines,4,2,3.7589,2.4274,34,26,10,1,1,0,2,1.3315000000000001
rwanda,singapore,0,3,2.8026999999999997,2.9652,28,28,18,1,0,1,-3,-0.1625000000000001
serbia,saudi_arabia,5,4,2.7532,3.9424999999999994,26,29,28,1,1,0,1,-1.1892999999999994
morocco,china,3,2,2.3294,2.8881,23,29,12,1,1,0,1,-0.5587
panama,brazil,0,6,1.4819,3.6864999999999997,18,31,12,1,0,1,-6,-2.2045999999999997
thailand,ethiopia,1,5,3.2164,2.3859,25,27,12,1,0,1,-4,0.8305000000000002
south_korea,india,3,7,2.6878,3.3395,24,27,16,1,0,1,-4,-0.6517
mongolia,pakistan,2,1,3.4268,3.424,30,30,10,1,1,0,1,0.0028000000000001357
usa,canada,6,5,2.7803,3.405,25,31,10,1,1,0,1,-0.6246999999999998
iceland,netherlands,2,1,2.0438,3.5524,19,30,28,1,1,0,1,-1.5086
oman,uk,4,5,2.8284,3.6975000000000002,25,30,14,1,0,1,-1,-0.8691000000000004
vietnam,mexico,3,4,2.586,2.659,26,24,8,1,0,1,-1,-0.07299999999999995
