rank,team,first_line_adj_xg60,second_line_adj_xg60,disparity_ratio,disparity_diff,first_line_raw_xg60,second_line_raw_xg60,first_line_toi_s,second_line_toi_s,composite_disparity_score,tier
1,usa,2.7294,1.9978,1.3662,0.7315,2.7223,2.0022,106785.16,104032.3,-0.799,5 - Poor
2,guatemala,2.8242,2.0693,1.3648,0.7549,2.8201,2.0712,108679.36,107438.63,0.2745,2 - Above Average
3,saudi_arabia,2.2497,1.6544,1.3598,0.5953,2.2464,1.6566,112237.04,111049.08,-0.1632,3 - Average
4,uae,1.999,1.476,1.3544,0.523,1.9959,1.4776,112703.44,111169.82,-0.729,4 - Below Average
5,france,2.5597,1.9025,1.3455,0.6573,2.5562,1.9044,110597.68,109202.82,0.0891,3 - Average
6,iceland,2.5872,1.9625,1.3183,0.6247,2.5831,1.9625,107210.72,105270.05,0.1363,3 - Average
7,singapore,2.6369,2.0991,1.2562,0.5378,2.6333,2.0996,109657.11,108853.52,-0.5969,4 - Below Average
8,new_zealand,2.4411,1.9773,1.2346,0.4638,2.4383,1.979,106266.59,105083.85,-0.1429,3 - Average
9,peru,2.3936,1.9835,1.2068,0.4101,2.3879,1.9867,113593.69,112635.45,1.0705,1 - Elite
10,panama,2.5452,2.1208,1.2001,0.4243,2.5439,2.1207,110704.85,109056.43,0.6119,2 - Above Average
11,rwanda,2.3358,1.9587,1.1925,0.3771,2.335,1.9586,105995.37,104304.1,-1.0527,5 - Poor
12,uk,2.7298,2.3313,1.1709,0.3984,2.7277,2.3315,114550.76,111143.93,0.7441,2 - Above Average
13,india,2.4352,2.0815,1.1699,0.3537,2.4312,2.0828,111076.65,110125.83,0.2566,2 - Above Average
14,serbia,2.8281,2.5162,1.124,0.3119,2.8221,2.5193,107210.71,104192.36,0.2331,3 - Average
15,south_korea,2.7248,2.4547,1.1101,0.2702,2.7206,2.456,106292.55,102921.61,-0.1711,3 - Average
16,netherlands,2.1343,1.9316,1.1049,0.2027,2.1322,1.9328,112507.12,111084.71,1.2364,1 - Elite
17,mexico,2.5754,2.4171,1.0655,0.1583,2.5711,2.4187,108875.51,107867.18,0.3062,2 - Above Average
18,china,2.5116,2.3907,1.0506,0.1209,2.5057,2.3929,114085.53,111686.71,0.9584,1 - Elite
19,mongolia,1.6477,1.5715,1.0485,0.0762,1.6456,1.5729,110749.96,107028.18,-1.6417,5 - Poor
20,pakistan,2.9933,2.8768,1.0405,0.1166,2.9916,2.8747,104327.03,103639.13,0.9897,1 - Elite
21,canada,2.3798,2.3442,1.0152,0.0356,2.3785,2.3456,111356.24,107461.05,-0.375,4 - Below Average
22,philippines,1.8507,1.8491,1.0009,0.0016,1.8463,1.8514,118618.82,115236.91,-0.164,3 - Average
23,kazakhstan,1.673,1.6725,1.0003,0.0005,1.672,1.6724,113395.46,111525.28,-0.8989,5 - Poor
24,morocco,2.3198,2.3279,0.9966,-0.008,2.3178,2.3275,113243.05,110244.5,-0.078,3 - Average
25,oman,2.488,2.5121,0.9904,-0.0242,2.485,2.5135,104184.93,103285.42,-0.8096,5 - Poor
26,brazil,2.7159,2.7718,0.9798,-0.0559,2.7121,2.7742,106511.22,105451.28,1.5884,1 - Elite
27,thailand,2.8245,2.9294,0.9642,-0.1049,2.8201,2.9327,107994.96,105633.67,1.3139,1 - Elite
28,indonesia,1.8107,1.8787,0.9638,-0.068,1.8088,1.8808,112896.07,109828.79,-0.2206,3 - Average
29,germany,2.1803,2.2711,0.96,-0.0908,2.1785,2.2718,111105.22,108841.11,-0.3604,4 - Below Average
30,vietnam,2.0155,2.1421,0.9409,-0.1266,2.0126,2.1441,109499.23,108757.93,-0.9078,5 - Poor
31,ethiopia,2.2268,2.4667,0.9027,-0.2399,2.2252,2.4641,109390.48,105487.92,-0.0155,3 - Average
32,switzerland,1.7126,1.9237,0.8903,-0.2111,1.7112,1.9256,109754.28,108521.08,-0.6829,4 - Below Average
